	CC7	CC7-B01	H2
AIPGENE1185	0	-1.166444788	0
AIPGENE14095	0	-0.974277909	0
AIPGENE1992	0	-0.985096976	0
AIPGENE7045	0	-0.898179849	0
AIPGENE9298	0	-0.807426491	0
AIPGENE5865	0	-0.691653389	-0.417964363
AIPGENE19436	0	-0.436798929	0
AIPGENE24260	0	-0.348834468	0
AIPGENE6592	0	-0.384846529	0
AIPGENE1998	0	-0.658823726	0
AIPGENE14508	0	-0.675598877	0
AIPGENE211	0	-0.673159801	0
AIPGENE24750	0	-0.518503287	0
AIPGENE29055	0	-0.550679249	0
AIPGENE9056	0	-0.562121918	0
AIPGENE28935	-1.348322809	-1.330959141	-0.752349111
AIPGENE815	-1.487133485	-0.904801771	-1.446757296
AIPGENE28989	-0.43973996	0	0
AIPGENE2120	-0.511204476	0	0
AIPGENE21713	-0.531550198	0	0
AIPGENE878	-1.299181331	0	0
AIPGENE28089	-0.897902147	0	0
AIPGENE28943	-0.99453629	0	0
AIPGENE26798	-0.958914352	-1.321163703	0
AIPGENE27790	-0.883011952	-1.268405337	0
AIPGENE2084	-1.092885977	-0.769710274	-0.479338479
AIPGENE8398	-1.093442841	-0.815895667	0
AIPGENE18864	-0.506152527	-0.618252404	-0.522862896
AIPGENE2150	-0.689164756	-0.633343937	-0.496161758
AIPGENE19083	-0.574453327	-0.700217218	0
AIPGENE3811	-0.638584584	-0.758852097	0
AIPGENE23421	-0.586283961	-0.557858748	0
AIPGENE16593	-0.494489516	-0.552691608	0
AIPGENE9114	-0.50985319	-0.52962814	0
AIPGENE3461	2.544098929	3.22414111	0
AIPGENE6351	1.996388049	2.200178356	0
AIPGENE14027	1.457159534	1.486148998	0
AIPGENE26095	1.485611317	1.942256851	0
AIPGENE10496	0	0	-1.434655076
AIPGENE18835	-0.535761788	0	-1.546049442
AIPGENE13783	0	1.254228879	-1.228437629
AIPGENE10961	0	1.352060587	-1.097393475
AIPGENE10986	0	1.464504468	-1.100021232
AIPGENE10977	0	1.038797991	-0.831585687
AIPGENE5636	0	0.692456867	-0.654288508
AIPGENE10743	0	0	2.32756471
AIPGENE72	0	0	1.745143825
AIPGENE17549	0	0	0.423861578
AIPGENE1999	0	0	0.488437253
AIPGENE8635	0	0	0.96249952
AIPGENE14658	0	0	1.023157284
AIPGENE27747	0	0	1.004438874
AIPGENE17751	0	0	0.666840939
AIPGENE19098	0	0	0.787526039
AIPGENE28230	0	0	0.782615014
AIPGENE9027	0	1.216114289	0.918720658
AIPGENE10589	0	1.069592123	0
AIPGENE10882	0	0.963469173	0
AIPGENE16918	0	0.353183616	0
AIPGENE9049	0	0.484591335	0
AIPGENE18887	0	0.455904828	0
AIPGENE8301	0	0.44052482	0
AIPGENE20480	0	0.599347625	0
AIPGENE4821	0	0.617390061	0
AIPGENE24564	0	0.742545631	0
AIPGENE11552	0	0.694430029	0
AIPGENE24476	0	0.65716066	0
AIPGENE15022	0	0	-0.491276836
AIPGENE879	0	0	-0.470623682
AIPGENE10995	0.673279483	0	0
AIPGENE3683	0.631259429	0	0
AIPGENE19125	0.377110638	0	0
AIPGENE4097	0.459508454	0	0
AIPGENE9885	1.489433361	0	0
AIPGENE24049	0.925914286	0.827500711	0
AIPGENE20481	0.511209935	0.837124332	0
AIPGENE1263	0.613731433	0.578387187	0
AIPGENE14046	0.671383374	0.672036845	0
AIPGENE14017	0.912586327	0.472398006	0.777424689
AIPGENE10583	0.664816468	0.550643182	0.430432576
AIPGENE3800	0.747721756	0.453686477	0.49708397
