	CC7	CC7-B01	H2
AIPGENE9938	4.643086154	5.446489122	5.970331103
AIPGENE27144	0	-0.925933998	0
AIPGENE27869	0	-0.688319807	0
AIPGENE23027	0	-0.672464472	0
AIPGENE6151	0	-0.658366036	0
AIPGENE20198	0	-0.750630157	0
AIPGENE18567	0	-0.728930965	0
AIPGENE15754	0	-0.732330638	0
AIPGENE8704	0	-0.73495516	0
AIPGENE3906	0	-0.714540608	0
AIPGENE607	0	-0.722809127	0
AIPGENE1554	0	-0.562957931	0
AIPGENE20966	0	-0.542670021	0
AIPGENE12192	0	-0.530405	0
AIPGENE3365	0	-0.534062142	0
AIPGENE6495	0	-0.449130036	0
AIPGENE1265	0	-0.466675642	0
AIPGENE3939	0	-0.463079398	0
AIPGENE17384	0	-0.487457624	0
AIPGENE1928	0	-0.488601664	0
AIPGENE26250	0	-0.488689652	0
AIPGENE16072	0	-0.507763216	0
AIPGENE17420	0	-0.515139622	0
AIPGENE14120	0	-0.402701142	0
AIPGENE26763	0	-0.415452673	0
AIPGENE21723	0	-0.408792417	0
AIPGENE17332	0	-0.412035609	0
AIPGENE489	0	-0.412040351	0
AIPGENE23106	0	-0.423821249	0
AIPGENE7322	0	-0.421557668	0
AIPGENE3482	0	-0.438996102	0
AIPGENE10200	0	-0.428901247	0
AIPGENE8402	0	-0.432828027	0
AIPGENE23521	0	-0.293623378	0
AIPGENE637	0	-0.323975015	0
AIPGENE10494	0	-0.340106414	0
AIPGENE11705	0	-0.344054731	0
AIPGENE6165	0	-0.343090679	0
AIPGENE14819	-0.966419252	-1.025716901	0
AIPGENE21619	-0.801748786	-1.026155619	0
AIPGENE22527	-0.714292563	-0.95938214	0
AIPGENE18100	-0.829756058	-0.531375127	0
AIPGENE16407	-0.564693281	-0.85051032	0
AIPGENE27686	-0.545730237	-0.816610228	0
AIPGENE12723	-0.682760779	-0.788494154	0
AIPGENE22688	-0.625438799	-0.68048635	0
AIPGENE10550	-0.403105101	0	0
AIPGENE28040	-0.398876141	0	0
AIPGENE1292	-0.553132088	0	0
AIPGENE5702	-0.526772933	0	0
AIPGENE28799	-0.446878545	-0.349271697	0
AIPGENE23052	-0.363993915	-0.348015738	0
AIPGENE18609	-0.37696581	-0.391229773	0
AIPGENE20570	-0.405262352	-0.409830099	0
AIPGENE11862	-0.583389756	-0.545524757	0
AIPGENE5963	-0.58558488	-0.582298873	0
AIPGENE4137	-0.409534707	-0.649116187	0
AIPGENE17478	-0.432673815	-0.487680654	0
AIPGENE23843	-0.470215784	-0.503347498	0
AIPGENE24338	0	0	-1.028355864
AIPGENE8715	0	0	-0.968717675
AIPGENE26569	0	0	-0.47754169
AIPGENE10555	0	0	-0.416784793
AIPGENE2582	0	0	-0.425193269
AIPGENE26413	0	0	-0.757574606
AIPGENE25360	0	0	-0.610589717
AIPGENE14432	0	0	-0.62529427
AIPGENE3833	0	0	-0.623618323
AIPGENE15114	0	-0.706899457	-0.777697146
AIPGENE17789	0	-0.541912248	-0.585959844
AIPGENE3242	0	-0.512655601	-0.574917323
AIPGENE26925	0	-0.499532229	-0.446641654
AIPGENE13930	0	-0.496755371	-0.539757065
AIPGENE3555	0	-0.512790487	-0.500493431
AIPGENE16386	-0.569780571	0	-0.728192894
AIPGENE15008	-0.703225573	-0.406752646	-0.622704666
AIPGENE13459	-0.564798895	-0.413739053	-0.557161044
AIPGENE6197	-0.535693531	-0.466622892	-0.607798088
AIPGENE11605	-0.398314188	-0.493051569	-0.648784633
AIPGENE17027	-0.425601323	-0.422766442	-0.41238696
AIPGENE22473	0	-1.710743676	-0.724894235
AIPGENE18105	0	-1.275761572	-0.799197997
AIPGENE26443	0	-1.064918771	-0.76380695
AIPGENE6490	0	-1.034897663	-0.643200371
AIPGENE17949	-0.725952295	-0.739359966	-0.562249646
AIPGENE21331	-0.708730121	-0.713152818	-0.58163287
AIPGENE13828	-0.593191537	-0.875628776	-0.454190524
AIPGENE21611	-0.609267856	-0.78051386	-0.547684758
AIPGENE25676	-0.990207902	-0.869821598	-1.066553285
AIPGENE19728	-0.78215138	-0.881731683	-0.769597543
AIPGENE20557	-0.80274034	-0.765913606	-0.715874428
AIPGENE8501	-1.049563495	-0.91518528	-0.744232199
AIPGENE1716	-0.915080809	-0.914184677	-0.567928734
AIPGENE20554	-0.865847357	-1.061452566	-0.658003898
AIPGENE9190	1.374535112	1.70937969	1.54426885
